warehousename,shipmentstatusdesc
Ingredion Incorporated,READY
Ingredion Incorporated,READY
Ingredion Incorporated,STAGED
Ingredion Incorporated,READY
Ingredion Incorporated,READY
Ingredion Incorporated,READY
Ingredion Incorporated,STAGED
Ingredion Incorporated,STAGED
Ingredion Incorporated,READY
Ingredion Incorporated,READY
Interstate Batteries - Dallas,IN-PROCESS
Ingredion Incorporated,READY
Ingredion Incorporated,READY
Ingredion Incorporated,STAGED
Ingredion Incorporated,READY
Ingredion Incorporated,READY
Ingredion Incorporated,READY
Ingredion Incorporated,STAGED
Ingredion Incorporated,STAGED
Ingredion Incorporated,READY
Ingredion Incorporated,READY
Interstate Batteries - Dallas,IN-PROCESS
Interstate Batteries - Dallas,IN-PROCESS
Interstate Batteries - Dallas,IN-PROCESS
Interstate Batteries - Dallas,IN-PROCESS
Interstate Batteries - Dallas,IN-PROCESS
Interstate Batteries - Dallas,IN-PROCESS
Interstate Batteries - Dallas,IN-PROCESS
Interstate Batteries - Phoenix,READY
Interstate Batteries - Phoenix,READY
Interstate Batteries - Chicago,IN-PROCESS
Interstate Batteries - Chicago,IN-PROCESS
Interstate Batteries - Chicago,IN-PROCESS
Interstate Batteries - Chicago,IN-PROCESS
Interstate Batteries - Chicago,IN-PROCESS
Interstate Batteries - Chicago,IN-PROCESS
Interstate Batteries - Chicago,IN-PROCESS
Interstate Batteries - Chicago,IN-PROCESS
Interstate Batteries - Chicago,IN-PROCESS
Interstate Batteries - Jacksonville,IN-PROCESS
Interstate Batteries - Jacksonville,IN-PROCESS
